id;category;factor;description
91;Process;Outsourcing and global distribution;Degree of outsourcing of the work of the project.
92;Process;Platform volatility;Time span between major changes.
93;Process;Process maturity;The well-definedness of the process.
94;Process;Project duration;Length of the project.
95;Process;Project type;Integration or development project.
96;Development Enviroment;Documentation match to life-cycle needs;How well the documentation fits the needs
97;Development Enviroment;Domain Application;Domain such as embedded software, management information system, or web application
98;Development Enviroment;Programming language;The programming language used
99;Development Enviroment;Use of software tools;The degree of tool use
100;Development Enviroment;Use of modern development practices;For example, continuous integration, automated testing, or configuration management
